dex;pokemon;type1;type2;sol;index
1;BULBASAUR;GRASS;POISON;PLANTE;0
2;IVYSAUR;GRASS;POISON;PLANTE;0
3;VENUSAUR;GRASS;POISON;PLANTE;0
4;CHARMANDER;FIRE;NONE;FEU;2
5;CHARMELEON;FIRE;NONE;FEU;2
6;CHARIZARD;FIRE;FLYING;FEU;2
7;SQUIRTLE;WATER;NONE;EAU;1
8;WARTORTLE;WATER;NONE;EAU;1
9;BLASTOISE;WATER;NONE;EAU;1
10;CATERPIE;BUG;NONE;PLANTE;0
11;METAPOD;BUG;NONE;PLANTE;0
12;BUTTERFREE;BUG;FLYING;PLANTE;0
13;WEEDLE;BUG;POISON;PLANTE;0
14;KAKUNA;BUG;POISON;PLANTE;0
15;BEEDRILL;BUG;POISON;PLANTE;0
16;PIDGEY;NORMAL;FLYING;NUAGES;6
17;PIDGEOTTO;NORMAL;FLYING;NUAGES;6
18;PIDGEOT;NORMAL;FLYING;NUAGES;6
19;RATTATA;NORMAL;NONE;NORMAL;3
20;RATICATE;NORMAL;NONE;NORMAL;3
21;SPEAROW;NORMAL;FLYING;NUAGES;6
22;FEAROW;NORMAL;FLYING;NUAGES;6
23;EKANS;POISON;NONE;NORMAL;3
24;ARBOK;POISON;NONE;NORMAL;3
25;PIKACHU;ELECTRIC;NONE;NORMAL;3
26;RAICHU;ELECTRIC;NONE;NORMAL;3
27;SANDSHREW;GROUND;NONE;ROCHE;4
28;SANDSLASH;GROUND;NONE;ROCHE;4
29;NIDORAN H;POISON;NONE;NORMAL;3
30;NIDORINA;POISON;NONE;NORMAL;3
31;NIDOQUEEN;POISON;GROUND;ROCHE;4
32;NIDORAN M;POISON;NONE;NORMAL;3
33;NIDORINO;POISON;NONE;NORMAL;3
34;NIDOKING;POISON;GROUND;ROCHE;4
35;CLEFAIRY;FAIRY;NONE;NORMAL;3
36;CLEFABLE;FAIRY;NONE;NORMAL;3
37;VULPIX;FIRE;NONE;FEU;2
38;NINETALES;FIRE;NONE;FEU;2
39;JIGGLYPUFF;NORMAL;FAIRY;NORMAL;3
40;WIGGLYTUFF;NORMAL;FAIRY;NORMAL;3
