dex;source_largeur;source_hauteur;adversaire_largeur;adversaire_hauteur;joueur_largeur;joueur_hauteur
1;17;21;62;77;76;95
2;19;22;66;77;82;95
3;25;25;77;77;95;95
4;19;22;66;77;82;95
5;18;22;63;77;77;95
6;27;26;77;74;95;91
7;17;18;72;77;89;95
8;22;21;77;73;95;90
9;26;24;77;71;95;87
10;12;19;48;77;60;95
11;17;21;62;77;76;95
12;24;23;77;73;95;91
13;11;19;44;77;55;95
14;14;21;51;77;63;95
15;23;24;73;77;91;95
16;13;17;58;77;72;95
17;17;22;59;77;73;95
18;17;24;54;77;67;95
19;16;22;56;77;69;95
20;16;20;61;77;76;95
21;15;17;67;77;83;95
22;26;20;77;59;95;73
23;17;26;50;77;62;95
24;29;30;74;77;91;95
25;19;25;58;77;72;95
26;29;26;77;69;95;85
27;17;19;68;77;85;95
28;23;25;70;77;87;95
29;17;21;62;77;76;95
30;19;19;77;77;95;95
31;25;23;77;70;95;87
32;21;23;70;77;86;95
33;23;24;73;77;91;95
34;32;26;77;62;95;77
35;20;19;77;73;95;90
36;26;21;77;62;95;76
37;17;20;65;77;80;95
38;26;24;77;71;95;87
39;17;18;72;77;89;95
40;22;23;73;77;90;95
41;25;19;77;58;95;72
42;29;26;77;69;95;85
43;14;20;53;77;66;95
44;26;22;77;65;95;80
45;27;21;77;59;95;73
46;18;15;77;64;95;79
47;24;22;77;70;95;87
48;19;21;69;77;85;95
49;23;22;77;73;95;90
50;22;16;77;56;95;69
51;31;27;77;67;95;82
52;20;20;77;77;95;95
53;17;25;52;77;64;95
54;19;24;60;77;75;95
55;27;28;74;77;91;95
56;24;22;77;70;95;87
57;27;23;77;65;95;80
58;16;23;53;77;66;95
59;22;30;56;77;69;95
60;16;23;53;77;66;95
61;27;21;77;59;95;73
62;31;24;77;59;95;73
63;21;20;77;73;95;90
64;30;25;77;64;95;79
65;31;22;77;54;95;67
66;19;20;73;77;90;95
67;25;25;77;77;95;95
68;31;29;77;72;95;88
69;17;18;72;77;89;95
70;25;21;77;64;95;79
71;28;27;77;74;95;91
72;19;23;63;77;78;95
73;23;23;77;77;95;95
74;26;17;77;50;95;62
75;23;24;73;77;91;95
76;24;23;77;73;95;91
77;13;24;41;77;51;95
78;17;32;40;77;50;95
79;20;22;70;77;86;95
80;16;26;47;77;58;95
81;19;14;77;56;95;70
82;25;23;77;70;95;87
83;17;21;62;77;76;95
84;23;22;77;73;95;90
85;25;29;66;77;81;95
86;25;20;77;61;95;76
87;25;24;77;73;95;91
88;22;21;77;73;95;90
89;23;23;77;77;95;95
90;19;20;73;77;90;95
91;25;25;77;77;95;95
92;25;28;68;77;84;95
93;24;23;77;73;95;91
94;25;22;77;67;95;83
95;24;47;39;77;48;95
96;25;21;77;64;95;79
97;25;23;77;70;95;87
98;18;15;77;64;95;79
99;28;19;77;52;95;64
100;16;16;77;77;95;95
101;19;19;77;77;95;95
102;23;22;77;73;95;90
103;27;27;77;77;95;95
104;21;20;77;73;95;90
105;24;23;77;73;95;91
106;29;25;77;66;95;81
107;21;25;64;77;79;95
108;24;26;71;77;87;95
109;23;21;77;70;95;86
110;32;32;77;77;95;95
111;21;23;70;77;86;95
112;29;27;77;71;95;88
113;24;21;77;67;95;83
114;24;25;73;77;91;95
115;30;26;77;66;95;82
116;19;21;69;77;85;95
117;27;28;74;77;91;95
118;19;19;77;77;95;95
119;23;24;73;77;91;95
120;21;19;77;69;95;85
121;21;19;77;69;95;85
122;22;24;70;77;87;95
123;26;26;77;77;95;95
124;26;25;77;74;95;91
125;25;27;71;77;87;95
126;25;27;71;77;87;95
127;25;25;77;77;95;95
128;19;27;54;77;66;95
129;22;22;77;77;95;95
130;37;55;51;77;63;95
131;43;34;77;60;95;75
132;20;18;77;69;95;85
133;19;18;77;72;95;90
134;23;28;63;77;78;95
135;21;25;64;77;79;95
136;21;24;67;77;83;95
137;18;21;66;77;81;95
138;17;20;65;77;80;95
139;23;23;77;77;95;95
140;18;14;77;59;95;73
141;23;24;73;77;91;95
142;30;25;77;64;95;79
143;28;27;77;74;95;91
144;63;32;77;39;95;48
145;45;42;77;71;95;88
146;79;36;77;35;95;43
147;24;21;77;67;95;83
148;26;31;64;77;79;95
149;25;32;60;77;74;95
150;27;28;74;77;91;95
151;21;27;59;77;73;95
152;13;21;47;77;58;95
153;20;30;51;77;63;95
154;21;29;55;77;68;95
155;15;17;67;77;83;95
156;15;19;60;77;75;95
157;19;25;58;77;72;95
158;20;20;77;77;95;95
159;22;24;70;77;87;95
160;30;28;77;71;95;88
161;23;32;55;77;68;95
162;18;24;57;77;71;95
163;19;19;77;77;95;95
164;15;26;44;77;54;95
165;35;22;77;48;95;59
166;31;22;77;54;95;67
167;23;17;77;56;95;70
168;29;24;77;63;95;78
169;32;17;77;40;95;50
170;22;21;77;73;95;90
171;27;27;77;77;95;95
172;20;22;70;77;86;95
173;19;18;77;72;95;90
174;15;16;72;77;89;95
175;16;18;68;77;84;95
176;13;23;43;77;53;95
177;17;18;72;77;89;95
178;17;24;54;77;67;95
179;17;23;56;77;70;95
180;17;22;59;77;73;95
181;15;22;52;77;64;95
182;19;22;66;77;82;95
183;18;23;60;77;74;95
184;24;25;73;77;91;95
185;24;23;77;73;95;91
186;23;24;73;77;91;95
187;22;21;77;73;95;90
188;22;19;77;66;95;82
189;24;21;77;67;95;83
190;24;25;73;77;91;95
191;19;18;77;72;95;90
192;24;24;77;77;95;95
193;23;20;77;66;95;82
194;23;19;77;63;95;78
195;18;24;57;77;71;95
196;25;26;74;77;91;95
197;17;26;50;77;62;95
198;15;22;52;77;64;95
199;19;27;54;77;66;95
200;17;23;56;77;70;95
201;11;18;47;77;58;95
202;16;23;53;77;66;95
203;14;28;38;77;47;95
204;17;19;68;77;85;95
205;24;20;77;64;95;79
206;15;22;52;77;64;95
207;29;25;77;66;95;81
208;36;45;61;77;76;95
209;23;20;77;66;95;82
210;21;24;67;77;83;95
211;15;17;67;77;83;95
212;29;26;77;69;95;85
213;22;21;77;73;95;90
214;25;27;71;77;87;95
215;24;26;71;77;87;95
216;19;19;77;77;95;95
217;27;28;74;77;91;95
218;15;20;57;77;71;95
219;16;24;51;77;63;95
220;17;16;77;72;95;89
221;21;23;70;77;86;95
222;19;18;77;72;95;90
223;13;20;50;77;61;95
224;26;23;77;68;95;84
225;21;24;67;77;83;95
226;56;38;77;52;95;64
227;31;30;77;74;95;91
228;14;21;51;77;63;95
229;17;30;43;77;53;95
230;16;25;49;77;60;95
231;17;17;77;77;95;95
232;31;22;77;54;95;67
233;18;22;63;77;77;95
234;23;30;59;77;72;95
235;24;24;77;77;95;95
236;18;24;57;77;71;95
237;23;25;70;77;87;95
238;17;20;65;77;80;95
239;28;26;77;71;95;88
240;21;23;70;77;86;95
241;23;25;70;77;87;95
242;26;24;77;71;95;87
243;23;31;57;77;70;95
244;29;31;72;77;88;95
245;30;31;74;77;91;95
246;17;22;59;77;73;95
247;19;25;58;77;72;95
248;25;28;68;77;84;95
249;53;54;75;77;93;95
250;55;59;71;77;88;95
251;17;23;56;77;70;95
252;21;21;77;77;95;95
253;26;24;77;71;95;87
254;25;24;77;73;95;91
255;13;22;45;77;56;95
256;21;26;62;77;76;95
257;27;29;71;77;88;95
258;17;18;72;77;89;95
259;19;21;69;77;85;95
260;24;23;77;73;95;91
261;16;21;58;77;72;95
262;16;25;49;77;60;95
263;17;22;59;77;73;95
264;15;27;42;77;52;95
265;11;21;40;77;49;95
266;23;18;77;60;95;74
267;31;25;77;62;95;76
268;22;22;77;77;95;95
269;28;23;77;63;95;78
270;19;15;77;60;95;75
271;24;23;77;73;95;91
272;26;25;77;74;95;91
273;16;21;58;77;72;95
274;23;30;59;77;72;95
275;32;23;77;55;95;68
276;13;16;62;77;77;95
277;15;20;57;77;71;95
278;30;17;77;43;95;53
279;31;20;77;49;95;61
280;13;20;50;77;61;95
281;17;21;62;77;76;95
282;17;23;56;77;70;95
283;23;20;77;66;95;82
284;31;19;77;47;95;58
285;20;17;77;65;95;80
286;19;26;56;77;69;95
287;31;18;77;44;95;55
288;24;23;77;73;95;91
289;25;25;77;77;95;95
290;17;15;77;67;95;83
291;31;21;77;52;95;64
292;23;23;77;77;95;95
293;21;20;77;73;95;90
294;24;24;77;77;95;95
295;27;24;77;68;95;84
296;24;23;77;73;95;91
297;29;29;77;77;95;95
298;16;22;56;77;69;95
299;23;23;77;77;95;95
300;19;25;58;77;72;95
301;21;25;64;77;79;95
302;22;23;73;77;90;95
303;19;24;60;77;75;95
304;14;18;59;77;73;95
305;24;23;77;73;95;91
306;32;29;77;69;95;86
307;23;21;77;70;95;86
308;23;26;68;77;84;95
309;17;23;56;77;70;95
310;16;26;47;77;58;95
311;17;21;62;77;76;95
312;17;21;62;77;76;95
313;23;24;73;77;91;95
314;19;22;66;77;82;95
315;28;21;77;57;95;71
316;20;20;77;77;95;95
317;24;24;77;77;95;95
318;23;25;70;77;87;95
319;29;27;77;71;95;88
320;27;22;77;62;95;77
321;47;60;60;77;74;95
322;15;19;60;77;75;95
323;19;26;56;77;69;95
324;21;19;77;69;95;85
325;19;25;58;77;72;95
326;21;24;67;77;83;95
327;22;26;65;77;80;95
328;17;16;77;72;95;89
329;23;24;73;77;91;95
330;25;32;60;77;74;95
331;29;18;77;47;95;58
332;31;31;77;77;95;95
333;29;15;77;39;95;49
334;23;26;68;77;84;95
335;24;26;71;77;87;95
336;19;29;50;77;62;95
337;13;21;47;77;58;95
338;27;23;77;65;95;80
339;13;22;45;77;56;95
340;23;24;73;77;91;95
341;25;19;77;58;95;72
342;31;23;77;57;95;70
343;25;21;77;64;95;79
344;21;24;67;77;83;95
345;22;22;77;77;95;95
346;23;24;73;77;91;95
347;23;24;73;77;91;95
348;22;24;70;77;87;95
349;17;22;59;77;73;95
350;42;43;75;77;92;95
