dex;source_largeur;source_hauteur;adversaire_largeur;adversaire_hauteur;joueur_largeur;joueur_hauteur
1;17;21;62;77;76;95
2;19;22;66;77;82;95
3;25;25;77;77;95;95
4;19;22;66;77;82;95
5;18;22;63;77;77;95
6;27;26;77;74;95;91
7;17;18;72;77;89;95
8;22;21;77;73;95;90
9;26;24;77;71;95;87
10;12;19;48;77;60;95
11;17;21;62;77;76;95
12;24;23;77;73;95;91
13;11;19;44;77;55;95
14;14;21;51;77;63;95
15;23;24;73;77;91;95
16;13;17;58;77;72;95
17;17;22;59;77;73;95
18;17;24;54;77;67;95
19;16;22;56;77;69;95
20;16;20;61;77;76;95
21;15;17;67;77;83;95
22;26;20;77;59;95;73
23;17;26;50;77;62;95
24;29;30;74;77;91;95
25;19;25;58;77;72;95
26;29;26;77;69;95;85
27;17;19;68;77;85;95
28;23;25;70;77;87;95
29;17;21;62;77;76;95
30;19;19;77;77;95;95
31;25;23;77;70;95;87
32;21;23;70;77;86;95
33;23;24;73;77;91;95
34;32;26;77;62;95;77
35;20;19;77;73;95;90
36;26;21;77;62;95;76
37;17;20;65;77;80;95
38;26;24;77;71;95;87
39;17;18;72;77;89;95
40;22;23;73;77;90;95
41;25;19;77;58;95;72
42;29;26;77;69;95;85
43;14;20;53;77;66;95
44;26;22;77;65;95;80
45;27;21;77;59;95;73
46;18;15;77;64;95;79
47;24;22;77;70;95;87
48;19;21;69;77;85;95
49;23;22;77;73;95;90
50;22;16;77;56;95;69
51;31;27;77;67;95;82
52;20;20;77;77;95;95
53;17;25;52;77;64;95
54;19;24;60;77;75;95
55;27;28;74;77;91;95
56;24;22;77;70;95;87
57;27;23;77;65;95;80
58;16;23;53;77;66;95
59;22;30;56;77;69;95
60;16;23;53;77;66;95
61;27;21;77;59;95;73
62;31;24;77;59;95;73
63;21;20;77;73;95;90
64;30;25;77;64;95;79
65;31;22;77;54;95;67
66;19;20;73;77;90;95
67;25;25;77;77;95;95
68;31;29;77;72;95;88
69;17;18;72;77;89;95
70;25;21;77;64;95;79
71;28;27;77;74;95;91
72;19;23;63;77;78;95
73;23;23;77;77;95;95
74;26;17;77;50;95;62
75;23;24;73;77;91;95
76;24;23;77;73;95;91
77;13;24;41;77;51;95
78;17;32;40;77;50;95
79;20;22;70;77;86;95
80;16;26;47;77;58;95
81;19;14;77;56;95;70
82;25;23;77;70;95;87
83;17;21;62;77;76;95
84;23;22;77;73;95;90
85;25;29;66;77;81;95
86;25;20;77;61;95;76
87;25;24;77;73;95;91
88;22;21;77;73;95;90
89;23;23;77;77;95;95
90;19;20;73;77;90;95
91;25;25;77;77;95;95
92;25;28;68;77;84;95
93;24;23;77;73;95;91
94;25;22;77;67;95;83
95;24;47;39;77;48;95
96;25;21;77;64;95;79
97;25;23;77;70;95;87
98;18;15;77;64;95;79
99;28;19;77;52;95;64
100;16;16;77;77;95;95
101;19;19;77;77;95;95
102;23;22;77;73;95;90
103;27;27;77;77;95;95
104;21;20;77;73;95;90
105;24;23;77;73;95;91
106;29;25;77;66;95;81
107;21;25;64;77;79;95
108;24;26;71;77;87;95
109;23;21;77;70;95;86
110;32;32;77;77;95;95
111;21;23;70;77;86;95
112;29;27;77;71;95;88
113;24;21;77;67;95;83
114;24;25;73;77;91;95
115;30;26;77;66;95;82
116;19;21;69;77;85;95
117;27;28;74;77;91;95
118;19;19;77;77;95;95
119;23;24;73;77;91;95
120;21;19;77;69;95;85
121;21;19;77;69;95;85
122;22;24;70;77;87;95
123;26;26;77;77;95;95
124;26;25;77;74;95;91
125;25;27;71;77;87;95
126;25;27;71;77;87;95
127;25;25;77;77;95;95
128;19;27;54;77;66;95
129;22;22;77;77;95;95
130;37;55;51;77;63;95
131;43;34;77;60;95;75
132;20;18;77;69;95;85
133;19;18;77;72;95;90
134;23;28;63;77;78;95
135;21;25;64;77;79;95
136;21;24;67;77;83;95
137;18;21;66;77;81;95
138;17;20;65;77;80;95
139;23;23;77;77;95;95
140;18;14;77;59;95;73
141;23;24;73;77;91;95
142;30;25;77;64;95;79
143;28;27;77;74;95;91
144;63;32;77;39;95;48
145;45;42;77;71;95;88
146;79;36;77;35;95;43
147;24;21;77;67;95;83
148;26;31;64;77;79;95
149;25;32;60;77;74;95
150;27;28;74;77;91;95
151;21;27;59;77;73;95
