Dex;Nom_interne;Type1;Type2;Biome_ID;Habitat
1;BULBASAUR;TYPE_GRASS;TYPE_POISON;2;foret
2;IVYSAUR;TYPE_GRASS;TYPE_POISON;2;foret
3;VENUSAUR;TYPE_GRASS;TYPE_POISON;2;foret
4;CHARMANDER;TYPE_FIRE;TYPE_NONE;3;volcan
5;CHARMELEON;TYPE_FIRE;TYPE_NONE;3;volcan
6;CHARIZARD;TYPE_FIRE;TYPE_FLYING;3;volcan
7;SQUIRTLE;TYPE_WATER;TYPE_NONE;1;eau_plage
8;WARTORTLE;TYPE_WATER;TYPE_NONE;1;eau_plage
9;BLASTOISE;TYPE_WATER;TYPE_NONE;1;eau_plage
10;CATERPIE;TYPE_BUG;TYPE_NONE;2;foret
11;METAPOD;TYPE_BUG;TYPE_NONE;2;foret
12;BUTTERFREE;TYPE_BUG;TYPE_FLYING;2;foret
13;WEEDLE;TYPE_BUG;TYPE_POISON;2;foret
14;KAKUNA;TYPE_BUG;TYPE_POISON;2;foret
15;BEEDRILL;TYPE_BUG;TYPE_POISON;2;foret
16;PIDGEY;TYPE_NORMAL;TYPE_FLYING;0;prairie
17;PIDGEOTTO;TYPE_NORMAL;TYPE_FLYING;0;prairie
18;PIDGEOT;TYPE_NORMAL;TYPE_FLYING;0;prairie
19;RATTATA;TYPE_NORMAL;TYPE_NONE;0;prairie
20;RATICATE;TYPE_NORMAL;TYPE_NONE;0;prairie
21;SPEAROW;TYPE_NORMAL;TYPE_FLYING;0;prairie
22;FEAROW;TYPE_NORMAL;TYPE_FLYING;0;prairie
23;EKANS;TYPE_POISON;TYPE_NONE;0;prairie
24;ARBOK;TYPE_POISON;TYPE_NONE;0;prairie
25;PIKACHU;TYPE_ELECTRIC;TYPE_NONE;0;prairie
26;RAICHU;TYPE_ELECTRIC;TYPE_NONE;0;prairie
27;SANDSHREW;TYPE_GROUND;TYPE_NONE;4;montagne
28;SANDSLASH;TYPE_GROUND;TYPE_NONE;4;montagne
29;NIDORAN H;TYPE_POISON;TYPE_NONE;0;prairie
30;NIDORINA;TYPE_POISON;TYPE_NONE;0;prairie
31;NIDOQUEEN;TYPE_POISON;TYPE_GROUND;0;prairie
32;NIDORAN M;TYPE_POISON;TYPE_NONE;0;prairie
33;NIDORINO;TYPE_POISON;TYPE_NONE;0;prairie
34;NIDOKING;TYPE_POISON;TYPE_GROUND;0;prairie
35;CLEFAIRY;TYPE_FAIRY;TYPE_NONE;0;prairie
36;CLEFABLE;TYPE_FAIRY;TYPE_NONE;0;prairie
37;VULPIX;TYPE_FIRE;TYPE_NONE;3;volcan
38;NINETALES;TYPE_FIRE;TYPE_NONE;3;volcan
39;JIGGLYPUFF;TYPE_NORMAL;TYPE_FAIRY;0;prairie
40;WIGGLYTUFF;TYPE_NORMAL;TYPE_FAIRY;0;prairie
41;ZUBAT;TYPE_POISON;TYPE_FLYING;0;prairie
42;GOLBAT;TYPE_POISON;TYPE_FLYING;0;prairie
43;ODDISH;TYPE_GRASS;TYPE_POISON;2;foret
44;GLOOM;TYPE_GRASS;TYPE_POISON;2;foret
45;VILEPLUME;TYPE_GRASS;TYPE_POISON;2;foret
46;PARAS;TYPE_BUG;TYPE_GRASS;2;foret
47;PARASECT;TYPE_BUG;TYPE_GRASS;2;foret
48;VENONAT;TYPE_BUG;TYPE_POISON;2;foret
49;VENOMOTH;TYPE_BUG;TYPE_POISON;2;foret
50;DIGLETT;TYPE_GROUND;TYPE_NONE;4;montagne
51;DUGTRIO;TYPE_GROUND;TYPE_NONE;4;montagne
52;MEOWTH;TYPE_NORMAL;TYPE_NONE;0;prairie
53;PERSIAN;TYPE_NORMAL;TYPE_NONE;0;prairie
54;PSYDUCK;TYPE_WATER;TYPE_NONE;1;eau_plage
55;GOLDUCK;TYPE_WATER;TYPE_NONE;1;eau_plage
56;MANKEY;TYPE_FIGHTING;TYPE_NONE;0;prairie
57;PRIMEAPE;TYPE_FIGHTING;TYPE_NONE;0;prairie
58;GROWLITHE;TYPE_FIRE;TYPE_NONE;3;volcan
59;ARCANINE;TYPE_FIRE;TYPE_NONE;3;volcan
60;POLIWAG;TYPE_WATER;TYPE_NONE;1;eau_plage
61;POLIWHIRL;TYPE_WATER;TYPE_NONE;1;eau_plage
62;POLIWRATH;TYPE_WATER;TYPE_FIGHTING;1;eau_plage
